,host_since,host_response_rate,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
19470,20150413.0,0.9,-33.88960985493517,151.27046412991456,2.0,1.0,0.0,1.0,181.0,0.0,100.0,1.0,0.0,1.0,1125.0,8.0,80.0
19471,20140303.0,0.0,-33.894258006838605,151.26945637595162,4.0,1.0,2.0,1.0,240.0,0.0,0.0,1.0,0.0,3.0,30.0,1.0,0.0
19472,20150930.0,1.0,-33.83328917524237,151.12596052499347,4.0,2.0,2.0,2.0,120.0,0.0,200.0,2.0,20.0,3.0,1125.0,4.0,100.0
19473,20140615.0,0.8,-33.916794305641986,151.14737043744174,6.0,1.0,2.0,2.0,200.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,100.0
19474,20140916.0,0.98,-33.862860252575196,151.20721137098283,4.0,1.0,1.0,2.0,127.0,200.0,123.0,1.0,0.0,2.0,1125.0,9.0,100.0
19475,20140916.0,0.98,-33.88110091027945,151.21890172339144,12.0,2.0,5.0,6.0,317.0,300.0,257.0,10.0,15.0,2.0,1125.0,11.0,85.0
19476,20170921.0,1.0,-33.89350328753808,151.25971351116482,1.0,1.0,1.0,1.0,65.0,150.0,20.0,1.0,0.0,2.0,30.0,25.0,97.0
19477,20150725.0,1.0,-33.8802410505063,151.2695391780236,1.0,1.0,1.0,1.0,80.0,0.0,15.0,1.0,0.0,4.0,1125.0,0.0,0.0
19478,20161002.0,1.0,-33.79408502973568,151.18558340133472,4.0,1.0,1.0,1.0,200.0,300.0,110.0,1.0,0.0,2.0,90.0,2.0,100.0
19479,20151109.0,0.5,-33.838695988944224,151.22201814776844,1.0,1.0,1.0,1.0,61.0,250.0,50.0,1.0,0.0,2.0,1125.0,0.0,0.0
19480,20160724.0,0.0,-33.888161351246005,151.12448113899848,1.0,1.0,1.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,14.0,8.0,100.0
19481,20170919.0,1.0,-33.902982716270465,151.18529239902156,6.0,1.5,2.0,4.0,220.0,500.0,125.0,5.0,25.0,2.0,1125.0,35.0,92.0
19482,20170413.0,1.0,-33.90513396060132,151.18065837138244,3.0,1.0,1.0,1.0,100.0,0.0,50.0,2.0,50.0,1.0,1125.0,49.0,94.0
