,price
6552,89.0
18807,255.0
13216,70.0
2185,90.0
10561,80.0
3517,84.0
4588,58.0
14904,138.0
5533,287.0
19915,44.0
2922,245.0
23186,100.0
9261,249.0
30254,179.0
10367,98.0
22326,42.0
10930,218.0
24035,249.0
1098,301.0
9679,90.0
22269,240.0
28935,57.0
12528,309.0
3688,66.0
223,195.0
28804,40.0
6143,150.0
17312,999.0
14332,39.0
11709,200.0
8096,98.0
12167,160.0
3420,120.0
12803,140.0
15066,301.0
8169,220.0
13334,94.0
3908,750.0
11034,50.0
29058,42.0
9609,301.0
15909,380.0
19654,169.0
5484,70.0
5519,35.0
30291,249.0
29705,160.0
16289,120.0
15586,200.0
10553,111.0
19543,190.0
17503,100.0
2619,239.0
667,181.0
23081,80.0
15833,132.0
26986,325.0
23942,150.0
27696,85.0
14157,61.0
16037,61.0
1658,799.0
8361,150.0
22717,450.0
29531,70.0
18315,450.0
10558,102.0
3182,98.0
14222,181.0
94,249.0
12812,67.0
25502,120.0
5909,63.0
27467,245.0
28282,197.0
4740,70.0
17726,164.0
28550,89.0
17014,600.0
8678,109.0
555,120.0
26428,129.0
21823,150.0
21895,80.0
11744,88.0
29740,301.0
26384,43.0
20667,120.0
3780,135.0
25658,225.0
5203,109.0
17790,43.0
9794,395.0
28009,235.0
17278,50.0
2010,338.0
22746,40.0
25743,55.0
6161,70.0
1428,120.0
11401,50.0
1522,200.0
29460,301.0
11160,50.0
19786,175.0
26554,200.0
8800,140.0
26325,40.0
28836,80.0
29638,80.0
25820,80.0
5869,240.0
27378,100.0
28835,70.0
16836,140.0
13108,100.0
28321,400.0
14017,121.0
17569,450.0
17971,231.0
26020,160.0
18351,450.0
8082,500.0
7719,181.0
29753,171.0
26652,69.0
18435,120.0
485,75.0
711,150.0
29828,499.0
19588,98.0
13374,111.0
16877,195.0
17629,231.0
26046,61.0
22878,200.0
11583,65.0
15099,249.0
17664,280.0
111,119.0
6714,301.0
15137,77.0
13424,191.0
27787,46.0
3175,220.0
8362,55.0
676,284.0
1912,301.0
12628,171.0
30330,179.0
7134,150.0
7864,129.0
20388,185.0
6395,550.0
4572,311.0
9953,240.0
13621,80.0
7214,400.0
29474,169.0
26971,120.0
6972,299.0
25385,200.0
22439,357.0
8247,86.0
29572,185.0
19818,44.0
8788,901.0
683,98.0
17643,70.0
4074,170.0
27439,49.0
29197,71.0
29545,164.0
27636,100.0
1526,61.0
7230,61.0
26656,59.0
6324,421.0
21135,80.0
23955,120.0
24771,53.0
22613,55.0
1514,55.0
5197,100.0
28020,189.0
6597,181.0
7349,70.0
22539,200.0
12421,190.0
9270,115.0
12583,280.0
8399,125.0
30706,51.0
5022,80.0
19754,140.0
5627,105.0
8602,61.0
1425,150.0
19113,301.0
30545,140.0
15350,75.0
15272,120.0
3442,129.0
29847,214.0
10023,98.0
21394,249.0
3987,115.0
23215,80.0
21266,160.0
19037,85.0
29802,171.0
24729,111.0
3020,465.0
14814,90.0
16095,40.0
13570,301.0
27132,189.0
21176,495.0
2583,690.0
1969,189.0
17065,164.0
18201,150.0
2086,135.0
24071,231.0
30120,155.0
2867,256.0
23494,799.0
22265,34.0
20027,140.0
12787,65.0
25570,175.0
23328,39.0
11479,700.0
9819,190.0
29864,120.0
28472,480.0
14880,849.0
26027,186.0
21485,61.0
21170,200.0
27089,159.0
19679,55.0
2374,115.0
20801,333.0
20368,120.0
27284,38.0
27648,600.0
7690,164.0
26213,148.0
26327,138.0
12423,111.0
1834,138.0
2674,249.0
21896,90.0
29400,66.0
20429,284.0
27167,243.0
5704,150.0
26503,500.0
13142,301.0
18831,49.0
22143,249.0
30138,59.0
11149,150.0
17364,115.0
3228,266.0
26472,119.0
23176,50.0
13046,100.0
23495,210.0
5743,495.0
8430,90.0
30673,111.0
368,67.0
23562,44.0
19668,105.0
